HARGA,LT,LB,JKT,JKM,GRS,KOTA
"15,000,000,000",500,765,4,4,ADA,JAKSEL
"25,000,000,000",685,450,4,4,ADA,JAKSEL
"20,000,000,000",910,450,5,4,ADA,JAKSEL
"15,000,000,000",580,220,4,3,TIDAK ADA,JAKSEL
"8,500,000,000",246,221,3,3,ADA,JAKSEL
"4,000,000,000",125,125,3,3,ADA,JAKSEL
"11,500,000,000",400,300,3,3,ADA,JAKSEL
"27,500,000,000",1010,605,6,6,ADA,JAKSEL
"6,000,000,000",182,500,4,3,ADA,JAKSEL
"17,500,000,000",477,550,4,4,ADA,JAKSEL
"17,000,000,000",300,475,5,4,ADA,JAKSEL
"7,500,000,000",259,410,4,3,ADA,JAKSEL
"28,000,000,000",572,450,8,7,ADA,JAKSEL
"7,000,000,000",349,349,9,5,ADA,JAKSEL
"9,000,000,000",200,480,4,3,ADA,JAKSEL
"39,000,000,000",973,1100,4,4,ADA,JAKSEL
"42,000,000,000",2131,1600,5,5,ADA,JAKSEL
"4,000,000,000",219,103,4,2,ADA,JAKSEL
"9,000,000,000",490,350,4,3,ADA,JAKSEL
"25,000,000,000",1000,800,4,3,ADA,JAKSEL
"3,800,000,000",153,180,4,3,TIDAK ADA,JAKSEL
"15,000,000,000",506,400,3,3,TIDAK ADA,JAKSEL
"17,000,000,000",465,640,4,4,ADA,JAKSEL
"7,300,000,000",278,350,4,4,ADA,JAKSEL
"8,500,000,000",250,400,4,4,ADA,JAKSEL
"55,000,000,000",2641,1000,4,3,ADA,JAKSEL
"17,000,000,000",851,450,4,3,ADA,JAKSEL
"17,000,000,000",392,327,4,4,ADA,JAKSEL
"10,000,000,000",402,236,3,3,ADA,JAKSEL
"12,000,000,000",254,370,4,4,ADA,JAKSEL
"10,500,000,000",380,300,3,3,ADA,JAKSEL
"17,500,000,000",417,560,4,4,ADA,JAKSEL
"5,250,000,000",135,250,3,4,ADA,JAKSEL
"13,500,000,000",565,380,3,3,ADA,JAKSEL
"10,500,000,000",220,350,4,3,ADA,JAKSEL
"17,000,000,000",440,350,4,4,ADA,JAKSEL
"7,900,000,000",356,450,4,3,ADA,JAKSEL
"18,600,000,000",474,455,4,4,TIDAK ADA,JAKSEL
"35,000,000,000",1200,900,6,6,ADA,JAKSEL
"25,000,000,000",670,650,3,3,TIDAK ADA,JAKSEL
"22,000,000,000",754,500,4,4,ADA,JAKSEL
"68,000,000,000",2595,1000,5,5,ADA,JAKSEL
"6,500,000,000",266,350,4,4,ADA,JAKSEL
"2,500,000,000",200,120,3,3,ADA,JAKSEL
"22,000,000,000",754,500,4,4,ADA,JAKSEL
"22,000,000,000",888,450,4,3,ADA,JAKSEL
"5,100,000,000",120,210,4,3,TIDAK ADA,JAKSEL
"9,200,000,000",231,389,3,3,ADA,JAKSEL
"36,000,000,000",1200,850,5,4,TIDAK ADA,JAKSEL
"7,900,000,000",205,357,4,4,TIDAK ADA,JAKSEL
"5,800,000,000",250,350,4,4,ADA,JAKSEL
"11,000,000,000",230,350,4,4,ADA,JAKSEL
"4,900,000,000",340,210,3,2,ADA,JAKSEL
"23,000,000,000",806,700,4,4,ADA,JAKSEL
"17,000,000,000",440,350,4,4,ADA,JAKSEL
"8,200,000,000",188,330,3,3,ADA,JAKSEL
"9,500,000,000",251,295,4,4,ADA,JAKSEL
"6,500,000,000",266,350,4,3,ADA,JAKSEL
"27,000,000,000",900,400,4,3,ADA,JAKSEL
"16,500,000,000",600,400,7,4,ADA,JAKSEL
"35,000,000,000",2000,800,4,4,TIDAK ADA,JAKSEL
"6,200,000,000",142,311,3,2,ADA,JAKSEL
"15,000,000,000",912,484,6,3,ADA,JAKSEL
"9,500,000,000",251,295,4,4,ADA,JAKSEL
"23,000,000,000",806,700,4,4,ADA,JAKSEL
"7,370,000,000",211,465,4,4,ADA,JAKSEL
"19,500,000,000",850,750,3,2,ADA,JAKSEL
"5,800,000,000",122,289,3,3,ADA,JAKSEL
"33,000,000,000",1100,800,5,5,ADA,JAKSEL
"22,500,000,000",500,536,5,5,ADA,JAKSEL
"4,200,000,000",110,165,4,3,ADA,JAKSEL
"16,950,000,000",387,250,1,1,ADA,JAKSEL
"13,000,000,000",616,650,4,4,ADA,JAKSEL
"18,000,000,000",670,385,4,4,ADA,JAKSEL
"7,000,000,000",140,215,4,4,ADA,JAKSEL
"5,000,000,000",234,350,4,4,ADA,JAKSEL
"38,500,000,000",1420,550,8,5,ADA,JAKSEL
